US_Chart - Current R&B/Hip-Hop Albums,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,week_of
Rank,Album,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TW Sales,% CHG,LW Sales,RTD Sales,2023.06.29
18,Bohunk,Ghostluvme, INDEPENDENT LABEL SUBMISSION,INDI,5,5,,2,630,-68.2,1982,2612,2023.06.29
19,Hope,NF,NF REAL MUSIC,NFRM,1,17,12,12,590,-13.0,678,99886,2023.06.29
20,NOW Disco,Various Artists,NOW,NOW ,3,15,13,8,588,-21.3,747,7974,2023.06.29
21,No Fear Of Time,Black Star, INDEPENDENT LABEL SUBMISSION,INDI,21,,,1,539,,0,539,2023.06.29
22,Hollywood's Bleeding,Post Malone,REPUBLIC RECORDS,R-RR,3,20,20,197,537,-3.9,559,566946,2023.06.29
23,Metro Boomin Presents Spider-Man: Across The Spider-Verse (Soundtrack From And Inspired By The Motion Picture),Metro Boomin,REPUBLIC RECORDS,R-RR,2,16,7,4,515,-30.9,745,5558,2023.06.29
24,Melt My Eyez See Your Future,Denzel Curry,LOMA VISTA,LVR,1,18,19,41,512,-17.2,618,60444,2023.06.29
25,"Sing Me A Lullaby, My Sweet Temptation",$uicideBoy$,G59 Records,G59,1,25,16,48,490,-4.1,511,25924,2023.06.29
26,Dawn Fm,The Weeknd,XO / REPUBLIC RECORDS,R-RR,1,19,17,77,471,-17.2,569,256287,2023.06.29
27,Planet Her,Doja Cat, RCA,RCA ,2,28,23,104,457,6.5,429,132776,2023.06.29
28,After Hours,The Weeknd,XO / REPUBLIC RECORDS,R-RR,1,23,18,168,418,-19.1,517,654506,2023.06.29
29,Thee Sacred Souls,Thee Sacred Souls,PELOTONRECORDS,PEDS,6,36,45,44,409,17.5,348,23061,2023.06.29
